unitId,unitName,nsUnit,status,versionDate,itemType,nsItemType,itemTypeDate,symbol,definition,baseStandard,conversionPresentation,conversionContent,numeratorItemType,nsNumeratorItemType,denominatorItemType,nsDenominatorItemType
acre,Acre,http://www.xbrl.org/2009/utr,REC,2012-10-31,areaItemType,,2009-12-16,a,Acre,Customary,4046.86 * m 2,4046.86 m 2,,,,
sqft,Square Foot,http://www.xbrl.org/2009/utr,REC,2012-10-31,areaItemType,,2009-12-16,ft²,Square Foot,Customary,0.09290304 * m 2,0.09290304 m 2,,,,
sqmi,Square Mile,http://www.xbrl.org/2009/utr,REC,2012-10-31,areaItemType,,2009-12-16,mi²,Square Miles,Customary,2589988.110336 * m 2,2589988.110336 m 2,,,,
sqyd,Square Yard,http://www.xbrl.org/2009/utr,REC,2012-10-31,areaItemType,,2009-12-16,yd²,Square Yard,Customary,0.83612736 * m 2,0.83612736 m 2,,,,
Boe,Barrel of Oil Equivalent,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,Boe,Barrel of Oil Equivalent,Customary,6117863200 * J,6117863200 J,,,,
Btu,British Thermal Unit,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,BTU,British Thermal Unit,Customary,1.0545 * 10 3 * J,1.0545 10 3 J,,,,
ft_lb,Foot-Pound,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,ft-lb,Foot-Pound Force,Customary,1.3558179483314 * J,1.3558179483314 J,,,,
MBoe,Thousand Barrels of Oil Equivalent,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,MBoe,Thousand Barrels of Oil Equivalent,Customary,6.1178632 * 10 12 * J,6.1178632 10 12 J,,,,
Mcfe,Thousand Cubic Foot Equivalent,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,Mcfe,Thousand Cubic Foot Equivalent,Customary,1.0872 * 10 9 J,1.0872 10 9 J,,,,
MMBoe,Millions of Barrels of Oil Equivalent,http://www.xbrl.org/2009/utr,REC,2012-10-31,energyItemType,,2009-12-16,MMBoe,Millions of Barrels of Oil Equivalent,Customary,6.1178632 * 10 15 * J,6.1178632 10 15 J,,,,
